693	10
692	1
691	6
690	5
689	3
688	5
687	4
686	6
685	6
684	4
683	6
682	16
681	11
680	12
679	8
678	16
677	22
676	12
675	20
674	18
673	25
672	15
671	17
670	20
669	34
668	25
667	31
666	50
665	37
664	49
663	32
662	43
661	43
660	43
659	34
658	37
657	51
656	56
655	56
654	62
653	61
652	67
651	74
650	89
649	69
648	81
647	93
646	93
645	107
644	108
643	104
642	89
641	124
640	107
639	101
638	111
637	133
636	115
635	114
634	127
633	129
632	124
631	135
630	146
629	151
628	151
627	172
626	144
625	166
624	143
623	171
622	171
621	182
620	171
619	205
618	208
617	176
616	196
615	173
614	191
613	213
612	216
611	203
610	229
609	220
608	247
607	233
606	237
605	236
604	246
603	234
602	232
601	205
600	238
599	259
598	263
597	256
596	275
595	275
594	268
593	264
592	270
591	274
590	283
589	268
588	284
587	262
586	298
585	323
584	284
583	285
582	268
581	323
580	303
579	287
578	331
577	297
576	299
575	328
574	297
573	333
572	344
571	332
570	346
569	348
568	323
567	303
566	307
565	345
564	350
563	386
562	346
561	341
560	349
559	360
558	347
557	366
556	355
555	351
554	360
553	346
552	350
551	383
550	352
549	367
548	352
547	351
546	381
545	370
544	381
543	411
542	382
541	359
540	395
539	368
538	388
537	369
536	393
535	377
534	406
533	418
532	391
531	406
530	410
529	390
528	385
527	421
526	408
525	407
524	404
523	401
522	411
521	425
520	432
519	398
518	371
517	386
516	409
515	437
514	412
513	427
512	441
511	410
510	409
509	443
508	399
507	405
506	432
505	427
504	452
503	440
502	430
501	469
500	419
499	421
498	460
497	427
496	423
495	438
494	423
493	468
492	471
491	424
490	467
489	428
488	438
487	479
486	461
485	449
484	452
483	435
482	446
481	481
480	462
479	434
478	433
477	462
476	472
475	470
474	448
473	470
472	429
471	476
470	475
469	469
468	465
467	420
466	451
465	455
464	443
463	427
462	481
461	497
460	425
459	493
458	486
457	449
456	421
455	440
454	463
453	486
452	478
451	470
450	495
449	446
448	457
447	467
446	494
445	459
444	478
443	486
442	483
441	423
440	480
439	467
438	485
437	484
436	506
435	529
434	495
433	465
432	467
431	468
430	446
429	509
428	416
427	486
426	465
425	461
424	458
423	482
422	508
421	472
420	467
419	460
418	446
417	483
416	454
415	451
414	457
413	446
412	451
411	475
410	464
409	480
408	447
407	448
406	495
405	446
404	446
403	448
402	425
401	424
400	450
399	478
398	422
397	458
396	419
395	413
394	475
393	456
392	430
391	451
390	450
389	440
388	489
387	468
386	406
385	450
384	424
383	435
382	425
381	403
380	399
379	392
378	412
377	417
376	403
375	374
374	432
373	369
372	397
371	375
370	392
369	382
368	396
367	384
366	338
365	378
364	395
363	363
362	369
361	369
360	389
359	347
358	332
357	340
356	389
355	361
354	333
353	373
352	337
351	358
350	338
349	326
348	399
347	332
346	367
345	333
344	334
343	322
342	337
341	325
340	285
339	313
338	324
337	282
336	296
335	322
334	311
333	290
332	309
331	292
330	290
329	282
328	307
327	291
326	261
325	282
324	282
323	301
322	289
321	277
320	248
319	257
318	274
317	269
316	259
315	250
314	218
313	246
312	259
311	245
310	250
309	250
308	233
307	224
306	226
305	241
304	199
303	252
302	220
301	229
300	199
299	210
298	212
297	186
296	208
295	199
294	188
293	170
292	178
291	192
290	193
289	181
288	170
287	179
286	190
285	170
284	181
283	167
282	167
281	190
280	165
279	143
278	169
277	136
276	144
275	160
274	147
273	133
272	150
271	122
270	137
269	130
268	129
267	121
266	120
265	131
264	116
263	117
262	119
261	133
260	103
259	115
258	109
257	116
256	92
255	83
254	108
253	97
252	94
251	101
250	95
249	78
248	90
247	89
246	89
245	78
244	90
243	85
242	70
241	72
240	65
239	73
238	63
237	55
236	54
235	64
234	63
233	69
232	62
231	45
230	49
229	44
228	38
227	44
226	38
225	48
224	43
223	41
222	43
221	38
220	46
219	37
218	27
217	41
216	23
215	32
214	27
213	29
212	29
211	25
210	20
209	19
208	17
207	14
206	23
205	8
204	17
203	14
202	26
201	18
200	17
199	11
198	9
197	15
196	13
195	14
194	16
193	8
192	9
191	12
190	8
189	10
188	10
187	7
186	7
185	4
184	5
183	4
182	7
181	6
180	5
179	6
178	5
177	7
176	4
175	5
174	4
173	6
172	4
171	4
170	2
169	5
168	2
167	2
166	4
165	4
164	4
163	4
162	6
161	2
160	3
159	2
158	1
157	2
156	2
155	5
154	1
153	2
152	5
151	3
150	2
